inventory_id,workbook,workbook_sha256,worksheet,sheet_visibility,cell_address,row,column,exact_formula_text,normalized_formula_text,current_displayed_result,current_displayed_result_type,error_state,contains_broken_ref,referenced_sheets_json,referenced_ranges_json,detected_formula_shape,cell_role,input_topology,translation_status,validation_feasibility,activity_status,required_missing_domain_concepts_json,evidence_confidence,evidence_notes
71169e4a0648af325cbaf251,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Surface,visible,C4,4,3,"=IFERROR(FLOOR(D4*(1+$C$2/100)*1000,100000),""❌"")","=IFERROR(FLOOR(RC[1]*(1+R2C3/100)*1000,100000),""❌"")",213200000,number,,False,"[""Surface""]","[{""sheet"":""Surface"",""range"":""D4"",""raw"":""D4"",""qualified"":""'Surface'!D4""},{""sheet"":""Surface"",""range"":""$C$2"",""raw"":""$C$2"",""qualified"":""'Surface'!$C$2""}]",A3,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
ce00e925bb2b4c64686b9ab4,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Surface,visible,D4,4,4,"=IFERROR(MIN(_xlfn._xlws.FILTER(E4:I4,E4:I4<>0)),""❌"")","=IFERROR(MIN(FILTER(RC[1]:RC[5],RC[1]:RC[5]<>0)),""❌"")",205000,number,,False,"[""Surface""]","[{""sheet"":""Surface"",""range"":""E4:I4"",""raw"":""E4:I4"",""qualified"":""'Surface'!E4:I4""}]",A2,basis_selection,multi_source,supported,replayable,unknown,[],high,
bd1ab0c3d415acf22f10c31f,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Surface,visible,C5,5,3,"=IFERROR(FLOOR(D5*(1+$C$2/100)*1000,100000),""❌"")","=IFERROR(FLOOR(RC[1]*(1+R2C3/100)*1000,100000),""❌"")",227700000,number,,False,"[""Surface""]","[{""sheet"":""Surface"",""range"":""D5"",""raw"":""D5"",""qualified"":""'Surface'!D5""},{""sheet"":""Surface"",""range"":""$C$2"",""raw"":""$C$2"",""qualified"":""'Surface'!$C$2""}]",A3,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
c922968180ab26379f23d0ef,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Surface,visible,D5,5,4,"=IFERROR(MIN(_xlfn._xlws.FILTER(E5:I5,E5:I5<>0)),""❌"")","=IFERROR(MIN(FILTER(RC[1]:RC[5],RC[1]:RC[5]<>0)),""❌"")",219000,number,,False,"[""Surface""]","[{""sheet"":""Surface"",""range"":""E5:I5"",""raw"":""E5:I5"",""qualified"":""'Surface'!E5:I5""}]",A2,basis_selection,multi_source,supported,replayable,unknown,[],high,
33fdce033fbd8937d635df7b,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Surface,visible,C6,6,3,"=IFERROR(FLOOR(D6*(1+$C$2/100)*1000,100000),""❌"")","=IFERROR(FLOOR(RC[1]*(1+R2C3/100)*1000,100000),""❌"")",227700000,number,,False,"[""Surface""]","[{""sheet"":""Surface"",""range"":""D6"",""raw"":""D6"",""qualified"":""'Surface'!D6""},{""sheet"":""Surface"",""range"":""$C$2"",""raw"":""$C$2"",""qualified"":""'Surface'!$C$2""}]",A3,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
ef93f9ecf35e80d3859a507d,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Surface,visible,D6,6,4,"=IFERROR(MIN(_xlfn._xlws.FILTER(E6:I6,E6:I6<>0)),""❌"")","=IFERROR(MIN(FILTER(RC[1]:RC[5],RC[1]:RC[5]<>0)),""❌"")",219000,number,,False,"[""Surface""]","[{""sheet"":""Surface"",""range"":""E6:I6"",""raw"":""E6:I6"",""qualified"":""'Surface'!E6:I6""}]",A2,basis_selection,multi_source,supported,replayable,unknown,[],high,
34291c1976944f1f6f32952e,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Surface,visible,C7,7,3,"=IFERROR(FLOOR(D7*(1+$C$2/100)*1000,100000),""❌"")","=IFERROR(FLOOR(RC[1]*(1+R2C3/100)*1000,100000),""❌"")",227700000,number,,False,"[""Surface""]","[{""sheet"":""Surface"",""range"":""D7"",""raw"":""D7"",""qualified"":""'Surface'!D7""},{""sheet"":""Surface"",""range"":""$C$2"",""raw"":""$C$2"",""qualified"":""'Surface'!$C$2""}]",A3,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
88885fbacc1ae89494e4ef45,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Surface,visible,D7,7,4,"=IFERROR(MIN(_xlfn._xlws.FILTER(E7:I7,E7:I7<>0)),""❌"")","=IFERROR(MIN(FILTER(RC[1]:RC[5],RC[1]:RC[5]<>0)),""❌"")",219000,number,,False,"[""Surface""]","[{""sheet"":""Surface"",""range"":""E7:I7"",""raw"":""E7:I7"",""qualified"":""'Surface'!E7:I7""}]",A2,basis_selection,multi_source,supported,replayable,unknown,[],high,
50b5c12403bec6f10d288a5f,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Surface,visible,C8,8,3,"=IFERROR(FLOOR(D8*(1+$C$2/100)*1000,100000),""❌"")","=IFERROR(FLOOR(RC[1]*(1+R2C3/100)*1000,100000),""❌"")",❌,text,,False,"[""Surface""]","[{""sheet"":""Surface"",""range"":""D8"",""raw"":""D8"",""qualified"":""'Surface'!D8""},{""sheet"":""Surface"",""range"":""$C$2"",""raw"":""$C$2"",""qualified"":""'Surface'!$C$2""}]",A3,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
f3028031574d8a548cc6d507,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Surface,visible,D8,8,4,"=IFERROR(MIN(_xlfn._xlws.FILTER(E8:I8,E8:I8<>0)),""❌"")","=IFERROR(MIN(FILTER(RC[1]:RC[5],RC[1]:RC[5]<>0)),""❌"")",❌,text,,False,"[""Surface""]","[{""sheet"":""Surface"",""range"":""E8:I8"",""raw"":""E8:I8"",""qualified"":""'Surface'!E8:I8""}]",A2,basis_selection,multi_source,supported,replayable,unknown,[],high,
